date,ticker,iv
2025-08-20,SPY,0.1803
2025-08-21,SPY,0.1624
2025-08-22,SPY,0.1855
2025-08-25,SPY,0.1793
2025-08-26,SPY,0.2269
2025-08-27,SPY,0.1718
2025-08-28,SPY,0.1484
2025-08-29,SPY,0.1847
2025-09-01,SPY,0.186
2025-09-02,SPY,0.2204
2025-09-03,SPY,0.2048
2025-09-04,SPY,0.1906
2025-09-05,SPY,0.224
2025-09-08,SPY,0.1446
2025-09-09,SPY,0.1612
2025-09-10,SPY,0.1528
2025-09-11,SPY,0.169
2025-09-12,SPY,0.1396
2025-09-15,SPY,0.2001
2025-09-16,SPY,0.1745
2025-09-17,SPY,0.1372
2025-09-18,SPY,0.151
2025-09-19,SPY,0.1911
2025-09-22,SPY,0.207
2025-09-23,SPY,0.2419
2025-09-24,SPY,0.2696
2025-09-25,SPY,0.1947
2025-09-26,SPY,0.1528
2025-09-29,SPY,0.1187
2025-09-30,SPY,0.1908
2025-10-01,SPY,0.1586
2025-10-02,SPY,0.1706
2025-10-03,SPY,0.1649
2025-10-06,SPY,0.1792
2025-10-07,SPY,0.2156
2025-10-08,SPY,0.1885
2025-10-09,SPY,0.1791
2025-10-10,SPY,0.153
2025-10-13,SPY,0.134
2025-10-14,SPY,0.1698
2025-10-15,SPY,0.1829
2025-10-16,SPY,0.2377
2025-10-17,SPY,0.1888
2025-10-20,SPY,0.2145
2025-10-21,SPY,0.1702
2025-10-22,SPY,0.1498
2025-10-23,SPY,0.1565
2025-10-24,SPY,0.1639
2025-10-27,SPY,0.2497
2025-10-28,SPY,0.1613
2025-10-29,SPY,0.2113
2025-10-30,SPY,0.1592
2025-10-31,SPY,0.2144
2025-11-03,SPY,0.1982
2025-11-04,SPY,0.1821
2025-11-05,SPY,0.1857
2025-11-06,SPY,0.1674
2025-11-07,SPY,0.2006
2025-11-10,SPY,0.1738
2025-11-11,SPY,0.1508
2025-11-12,SPY,0.1494
2025-11-13,SPY,0.1931
2025-11-14,SPY,0.2354
2025-11-17,SPY,0.193
2025-11-18,SPY,0.1848
2025-11-19,SPY,0.1971
2025-11-20,SPY,0.2279
2025-11-21,SPY,0.1954
2025-11-24,SPY,0.1767
2025-11-25,SPY,0.2224
2025-11-26,SPY,0.2022
2025-11-27,SPY,0.2356
2025-11-28,SPY,0.1951
2025-12-01,SPY,0.1531
2025-12-02,SPY,0.1489
2025-12-03,SPY,0.2396
2025-12-04,SPY,0.242
2025-12-05,SPY,0.1851
2025-12-08,SPY,0.1791
2025-12-09,SPY,0.2346
2025-12-10,SPY,0.1577
2025-12-11,SPY,0.1642
2025-12-12,SPY,0.2105
2025-12-15,SPY,0.1796
2025-12-16,SPY,0.1914
2025-12-17,SPY,0.1868
2025-12-18,SPY,0.202
2025-12-19,SPY,0.2343
2025-12-22,SPY,0.1949
2025-12-23,SPY,0.2117
2025-12-24,SPY,0.131
2025-12-25,SPY,0.1912
2025-12-26,SPY,0.1675
2025-12-29,SPY,0.1564
2025-12-30,SPY,0.1668
2025-12-31,SPY,0.1833
2026-01-01,SPY,0.2209
2026-01-02,SPY,0.1538
2026-01-05,SPY,0.1947
2026-01-06,SPY,0.1794
2026-01-07,SPY,0.1843
2026-01-08,SPY,0.2243
2026-01-09,SPY,0.2106
2026-01-12,SPY,0.2347
2026-01-13,SPY,0.1901
2026-01-14,SPY,0.174
2026-01-15,SPY,0.1883
2026-01-16,SPY,0.2025
2026-01-19,SPY,0.2007
2026-01-20,SPY,0.163
2026-01-21,SPY,0.1984
2026-01-22,SPY,0.2027
2026-01-23,SPY,0.2715
2026-01-26,SPY,0.2525
2026-01-27,SPY,0.1707
2026-01-28,SPY,0.1879
2026-01-29,SPY,0.1528
2026-01-30,SPY,0.1791
2026-02-02,SPY,0.2064
2026-02-03,SPY,0.2333
2026-02-04,SPY,0.1754
2026-02-05,SPY,0.1778
2026-02-06,SPY,0.1332
2026-02-09,SPY,0.1929
2026-02-10,SPY,0.1661
2026-02-11,SPY,0.1822
2026-02-12,SPY,0.1719
2026-02-13,SPY,0.1956
2026-02-16,SPY,0.1458
2026-02-17,SPY,0.1547
2026-02-18,SPY,0.2628
2026-02-19,SPY,0.1604
2026-02-20,SPY,0.1663
2026-02-23,SPY,0.2545
2026-02-24,SPY,0.2867
2026-02-25,SPY,0.1645
2026-02-26,SPY,0.1888
2026-02-27,SPY,0.2102
2025-03-13,IWM,0.2519
2025-03-14,IWM,0.1706
2025-03-17,IWM,0.193
2025-03-18,IWM,0.2238
2025-03-19,IWM,0.2137
2025-03-20,IWM,0.1895
2025-03-21,IWM,0.1969
2025-03-24,IWM,0.1599
2025-03-25,IWM,0.1941
2025-03-26,IWM,0.1934
2025-03-27,IWM,0.2086
2025-03-28,IWM,0.1851
2025-03-31,IWM,0.2161
2025-04-01,IWM,0.2325
2025-04-02,IWM,0.2069
2025-04-03,IWM,0.2129
2025-04-04,IWM,0.2041
2025-04-07,IWM,0.2027
2025-04-08,IWM,0.1812
2025-04-09,IWM,0.2125
2025-04-10,IWM,0.2003
2025-04-11,IWM,0.2661
2025-04-14,IWM,0.2507
2025-04-15,IWM,0.2152
2025-04-16,IWM,0.1809
2025-04-17,IWM,0.1706
2025-04-18,IWM,0.2399
2025-04-21,IWM,0.2122
2025-04-22,IWM,0.2189
2025-04-23,IWM,0.1523
2025-04-24,IWM,0.2326
2025-04-25,IWM,0.2186
2025-04-28,IWM,0.1718
2025-04-29,IWM,0.1911
2025-04-30,IWM,0.2133
2025-05-01,IWM,0.2072
2025-05-02,IWM,0.197
2025-05-05,IWM,0.2028
2025-05-06,IWM,0.1985
2025-05-07,IWM,0.2108
2025-05-08,IWM,0.2505
2025-05-09,IWM,0.1295
2025-05-12,IWM,0.1996
2025-05-13,IWM,0.2121
2025-05-14,IWM,0.2159
2025-05-15,IWM,0.196
2025-05-16,IWM,0.1546
2025-05-19,IWM,0.2173
2025-05-20,IWM,0.2595
2025-05-21,IWM,0.1618
2025-05-22,IWM,0.2339
2025-05-23,IWM,0.1983
2025-05-26,IWM,0.2064
2025-05-27,IWM,0.1769
2025-05-28,IWM,0.1986
2025-05-29,IWM,0.2478
2025-05-30,IWM,0.2264
2025-06-02,IWM,0.2611
2025-06-03,IWM,0.2446
2025-06-04,IWM,0.2226
2025-06-05,IWM,0.2619
2025-06-06,IWM,0.2229
2025-06-09,IWM,0.2347
2025-06-10,IWM,0.2011
2025-06-11,IWM,0.2122
2025-06-12,IWM,0.1894
2025-06-13,IWM,0.2402
2025-06-16,IWM,0.1753
2025-06-17,IWM,0.2343
2025-06-18,IWM,0.2053
2025-06-19,IWM,0.2463
2025-06-20,IWM,0.2338
2025-06-23,IWM,0.2661
2025-06-24,IWM,0.2336
2025-06-25,IWM,0.1646
2025-06-26,IWM,0.2099
2025-06-27,IWM,0.177
2025-06-30,IWM,0.1967
2025-07-01,IWM,0.2578
2025-07-02,IWM,0.2317
2025-07-03,IWM,0.1918
2025-07-04,IWM,0.1825
2025-07-07,IWM,0.2141
2025-07-08,IWM,0.1767
2025-07-09,IWM,0.1933
2025-07-10,IWM,0.2229
2025-07-11,IWM,0.2484
2025-07-14,IWM,0.2321
2025-07-15,IWM,0.1453
2025-07-16,IWM,0.2233
2025-07-17,IWM,0.2165
2025-07-18,IWM,0.2269
2025-07-21,IWM,0.2631
2025-07-22,IWM,0.1529
2025-07-23,IWM,0.1972
2025-07-24,IWM,0.2329
2025-07-25,IWM,0.1679
2025-07-28,IWM,0.2597
2025-07-29,IWM,0.2267
2025-07-30,IWM,0.2412
2025-07-31,IWM,0.1988
2025-08-01,IWM,0.2405
2025-08-04,IWM,0.2483
2025-08-05,IWM,0.2234
2025-08-06,IWM,0.2236
2025-08-07,IWM,0.2248
2025-08-08,IWM,0.191
2025-08-11,IWM,0.2126
2025-08-12,IWM,0.2126
2025-08-13,IWM,0.2289
2025-08-14,IWM,0.2475
2025-08-15,IWM,0.1859
2025-08-18,IWM,0.2141
2025-08-19,IWM,0.2625
2025-08-20,IWM,0.1959
2025-08-21,IWM,0.1937
2025-08-22,IWM,0.2246
2025-08-25,IWM,0.244
2025-08-26,IWM,0.2191
2025-08-27,IWM,0.2588
2025-08-28,IWM,0.2448
2025-08-29,IWM,0.2445
2025-09-01,IWM,0.2361
2025-09-02,IWM,0.2894
2025-09-03,IWM,0.2136
2025-09-04,IWM,0.1598
2025-09-05,IWM,0.2682
2025-09-08,IWM,0.2065
2025-09-09,IWM,0.2236
2025-09-10,IWM,0.2598
2025-09-11,IWM,0.1726
2025-09-12,IWM,0.1833
2025-09-15,IWM,0.173
2025-09-16,IWM,0.1974
2025-09-17,IWM,0.2345
2025-09-18,IWM,0.2372
2025-09-19,IWM,0.23
2025-09-22,IWM,0.1794
2025-09-23,IWM,0.1527
2025-09-24,IWM,0.2238
2025-09-25,IWM,0.2082
2025-09-26,IWM,0.2363
2025-09-29,IWM,0.2437
2025-09-30,IWM,0.2269
2025-10-01,IWM,0.2458
2025-10-02,IWM,0.23
2025-10-03,IWM,0.2392
2025-10-06,IWM,0.2023
2025-10-07,IWM,0.2182
2025-10-08,IWM,0.2296
2025-10-09,IWM,0.2485
2025-10-10,IWM,0.2123
2025-10-13,IWM,0.2399
2025-10-14,IWM,0.2164
2025-10-15,IWM,0.221
2025-10-16,IWM,0.2496
2025-10-17,IWM,0.1651
2025-10-20,IWM,0.1861
2025-10-21,IWM,0.1807
2025-10-22,IWM,0.1553
2025-10-23,IWM,0.2052
2025-10-24,IWM,0.2481
2025-10-27,IWM,0.2173
2025-10-28,IWM,0.2319
2025-10-29,IWM,0.2588
2025-10-30,IWM,0.2661
2025-10-31,IWM,0.2244
2025-11-03,IWM,0.2672
2025-11-04,IWM,0.2295
2025-11-05,IWM,0.2018
2025-11-06,IWM,0.2093
2025-11-07,IWM,0.1828
2025-11-10,IWM,0.2008
2025-11-11,IWM,0.2168
2025-11-12,IWM,0.2518
2025-11-13,IWM,0.2795
2025-11-14,IWM,0.1866
2025-11-17,IWM,0.24
2025-11-18,IWM,0.1972
2025-11-19,IWM,0.2428
2025-11-20,IWM,0.2248
2025-11-21,IWM,0.1739
2025-11-24,IWM,0.2569
2025-11-25,IWM,0.211
2025-11-26,IWM,0.2133
2025-11-27,IWM,0.1974
2025-11-28,IWM,0.21
2025-12-01,IWM,0.2426
2025-12-02,IWM,0.2243
2025-12-03,IWM,0.24
2025-12-04,IWM,0.2411
2025-12-05,IWM,0.2701
2025-12-08,IWM,0.2203
2025-12-09,IWM,0.1865
2025-12-10,IWM,0.2629
2025-12-11,IWM,0.2211
2025-12-12,IWM,0.2647
2025-12-15,IWM,0.2429
2025-12-16,IWM,0.2276
2025-12-17,IWM,0.2422
2025-12-18,IWM,0.2904
2025-12-19,IWM,0.2943
2025-12-22,IWM,0.2343
2025-12-23,IWM,0.2372
2025-12-24,IWM,0.2648
2025-12-25,IWM,0.2073
2025-12-26,IWM,0.2428
2025-12-29,IWM,0.2322
2025-12-30,IWM,0.2426
2025-12-31,IWM,0.2083
2026-01-01,IWM,0.1858
2026-01-02,IWM,0.1714
2026-01-05,IWM,0.2003
2026-01-06,IWM,0.2202
2026-01-07,IWM,0.2253
2026-01-08,IWM,0.2924
2026-01-09,IWM,0.2676
2026-01-12,IWM,0.2057
2026-01-13,IWM,0.2452
2026-01-14,IWM,0.2227
2026-01-15,IWM,0.2265
2026-01-16,IWM,0.2408
2026-01-19,IWM,0.254
2026-01-20,IWM,0.2254
2026-01-21,IWM,0.2676
2026-01-22,IWM,0.2016
2026-01-23,IWM,0.2362
2026-01-26,IWM,0.3141
2026-01-27,IWM,0.243
2026-01-28,IWM,0.2795
2026-01-29,IWM,0.2394
2026-01-30,IWM,0.2542
2026-02-02,IWM,0.2353
2026-02-03,IWM,0.232
2026-02-04,IWM,0.2139
2026-02-05,IWM,0.2504
2026-02-06,IWM,0.2121
2026-02-09,IWM,0.2577
2026-02-10,IWM,0.2705
2026-02-11,IWM,0.2491
2026-02-12,IWM,0.2297
2026-02-13,IWM,0.252
2026-02-16,IWM,0.2293
2026-02-17,IWM,0.2668
2026-02-18,IWM,0.1839
2026-02-19,IWM,0.229
2026-02-20,IWM,0.1795
2026-02-23,IWM,0.1945
2026-02-24,IWM,0.2804
2026-02-25,IWM,0.2665
2026-02-26,IWM,0.2183
2026-02-27,IWM,0.1949
2025-03-13,QQQ,0.0911
2025-03-14,QQQ,0.1639
2025-03-17,QQQ,0.2529
2025-03-18,QQQ,0.1935
2025-03-19,QQQ,0.1639
2025-03-20,QQQ,0.1947
2025-03-21,QQQ,0.1341
2025-03-24,QQQ,0.1722
2025-03-25,QQQ,0.1843
2025-03-26,QQQ,0.1789
2025-03-27,QQQ,0.2053
2025-03-28,QQQ,0.1921
2025-03-31,QQQ,0.202
2025-04-01,QQQ,0.1614
2025-04-02,QQQ,0.2092
2025-04-03,QQQ,0.2313
2025-04-04,QQQ,0.1534
2025-04-07,QQQ,0.1561
2025-04-08,QQQ,0.2229
2025-04-09,QQQ,0.1773
2025-04-10,QQQ,0.2253
2025-04-11,QQQ,0.1701
2025-04-14,QQQ,0.2272
2025-04-15,QQQ,0.1876
2025-04-16,QQQ,0.1916
2025-04-17,QQQ,0.2309
2025-04-18,QQQ,0.1733
2025-04-21,QQQ,0.1561
2025-04-22,QQQ,0.171
2025-04-23,QQQ,0.1982
2025-04-24,QQQ,0.1378
2025-04-25,QQQ,0.2041
2025-04-28,QQQ,0.1689
2025-04-29,QQQ,0.2197
2025-04-30,QQQ,0.1136
2025-05-01,QQQ,0.162
2025-05-02,QQQ,0.1351
2025-05-05,QQQ,0.1611
2025-05-06,QQQ,0.1935
2025-05-07,QQQ,0.1808
2025-05-08,QQQ,0.1788
2025-05-09,QQQ,0.1818
2025-05-12,QQQ,0.1928
2025-05-13,QQQ,0.1566
2025-05-14,QQQ,0.2082
2025-05-15,QQQ,0.2071
2025-05-16,QQQ,0.1989
2025-05-19,QQQ,0.2042
2025-05-20,QQQ,0.1965
2025-05-21,QQQ,0.2489
2025-05-22,QQQ,0.1854
2025-05-23,QQQ,0.1789
2025-05-26,QQQ,0.1657
2025-05-27,QQQ,0.1575
2025-05-28,QQQ,0.1513
2025-05-29,QQQ,0.1621
2025-05-30,QQQ,0.1868
2025-06-02,QQQ,0.1991
2025-06-03,QQQ,0.1908
2025-06-04,QQQ,0.1664
2025-06-05,QQQ,0.2166
2025-06-06,QQQ,0.2119
2025-06-09,QQQ,0.1851
2025-06-10,QQQ,0.1705
2025-06-11,QQQ,0.2067
2025-06-12,QQQ,0.196
2025-06-13,QQQ,0.1471
2025-06-16,QQQ,0.1886
2025-06-17,QQQ,0.1987
2025-06-18,QQQ,0.164
2025-06-19,QQQ,0.1969
2025-06-20,QQQ,0.1477
2025-06-23,QQQ,0.2316
2025-06-24,QQQ,0.2291
2025-06-25,QQQ,0.1842
2025-06-26,QQQ,0.2029
2025-06-27,QQQ,0.1198
2025-06-30,QQQ,0.1576
2025-07-01,QQQ,0.1836
2025-07-02,QQQ,0.1604
2025-07-03,QQQ,0.2142
2025-07-04,QQQ,0.2528
2025-07-07,QQQ,0.1578
2025-07-08,QQQ,0.1681
2025-07-09,QQQ,0.2004
2025-07-10,QQQ,0.2419
2025-07-11,QQQ,0.157
2025-07-14,QQQ,0.2013
2025-07-15,QQQ,0.2487
2025-07-16,QQQ,0.1446
2025-07-17,QQQ,0.1559
2025-07-18,QQQ,0.1818
2025-07-21,QQQ,0.179
2025-07-22,QQQ,0.2192
2025-07-23,QQQ,0.2022
2025-07-24,QQQ,0.1419
2025-07-25,QQQ,0.2108
2025-07-28,QQQ,0.1781
2025-07-29,QQQ,0.2339
2025-07-30,QQQ,0.1769
2025-07-31,QQQ,0.1768
2025-08-01,QQQ,0.2123
2025-08-04,QQQ,0.2191
2025-08-05,QQQ,0.2099
2025-08-06,QQQ,0.146
2025-08-07,QQQ,0.2129
2025-08-08,QQQ,0.1659
2025-08-11,QQQ,0.2041
2025-08-12,QQQ,0.1545
2025-08-13,QQQ,0.2108
2025-08-14,QQQ,0.1733
2025-08-15,QQQ,0.1592
2025-08-18,QQQ,0.2193
2025-08-19,QQQ,0.2053
2025-08-20,QQQ,0.1797
2025-08-21,QQQ,0.2419
2025-08-22,QQQ,0.1853
2025-08-25,QQQ,0.1996
2025-08-26,QQQ,0.2069
2025-08-27,QQQ,0.1804
2025-08-28,QQQ,0.2133
2025-08-29,QQQ,0.1833
2025-09-01,QQQ,0.1871
2025-09-02,QQQ,0.2405
2025-09-03,QQQ,0.1685
2025-09-04,QQQ,0.1275
2025-09-05,QQQ,0.2484
2025-09-08,QQQ,0.2767
2025-09-09,QQQ,0.1882
2025-09-10,QQQ,0.1425
2025-09-11,QQQ,0.1914
2025-09-12,QQQ,0.1923
2025-09-15,QQQ,0.1953
2025-09-16,QQQ,0.1678
2025-09-17,QQQ,0.2187
2025-09-18,QQQ,0.2172
2025-09-19,QQQ,0.1568
2025-09-22,QQQ,0.2228
2025-09-23,QQQ,0.2636
2025-09-24,QQQ,0.2073
2025-09-25,QQQ,0.1922
2025-09-26,QQQ,0.1982
2025-09-29,QQQ,0.2211
2025-09-30,QQQ,0.1509
2025-10-01,QQQ,0.2079
2025-10-02,QQQ,0.1914
2025-10-03,QQQ,0.2587
2025-10-06,QQQ,0.1982
2025-10-07,QQQ,0.2536
2025-10-08,QQQ,0.1706
2025-10-09,QQQ,0.2215
2025-10-10,QQQ,0.2136
2025-10-13,QQQ,0.1782
2025-10-14,QQQ,0.2097
2025-10-15,QQQ,0.2409
2025-10-16,QQQ,0.195
2025-10-17,QQQ,0.1541
2025-10-20,QQQ,0.2045
2025-10-21,QQQ,0.1781
2025-10-22,QQQ,0.1951
2025-10-23,QQQ,0.2031
2025-10-24,QQQ,0.1545
2025-10-27,QQQ,0.1573
2025-10-28,QQQ,0.2204
2025-10-29,QQQ,0.1905
2025-10-30,QQQ,0.1294
2025-10-31,QQQ,0.23
2025-11-03,QQQ,0.2148
2025-11-04,QQQ,0.1854
2025-11-05,QQQ,0.1674
2025-11-06,QQQ,0.2322
2025-11-07,QQQ,0.2177
2025-11-10,QQQ,0.2789
2025-11-11,QQQ,0.2202
2025-11-12,QQQ,0.2194
2025-11-13,QQQ,0.2029
2025-11-14,QQQ,0.2326
2025-11-17,QQQ,0.227
2025-11-18,QQQ,0.2459
2025-11-19,QQQ,0.1929
2025-11-20,QQQ,0.1956
2025-11-21,QQQ,0.1945
2025-11-24,QQQ,0.2327
2025-11-25,QQQ,0.2541
2025-11-26,QQQ,0.1956
2025-11-27,QQQ,0.1967
2025-11-28,QQQ,0.2191
2025-12-01,QQQ,0.2024
2025-12-02,QQQ,0.2385
2025-12-03,QQQ,0.1426
2025-12-04,QQQ,0.1855
2025-12-05,QQQ,0.187
2025-12-08,QQQ,0.141
2025-12-09,QQQ,0.1818
2025-12-10,QQQ,0.1835
2025-12-11,QQQ,0.205
2025-12-12,QQQ,0.2446
2025-12-15,QQQ,0.204
2025-12-16,QQQ,0.1806
2025-12-17,QQQ,0.21
2025-12-18,QQQ,0.2433
2025-12-19,QQQ,0.1828
2025-12-22,QQQ,0.1849
2025-12-23,QQQ,0.2291
2025-12-24,QQQ,0.2059
2025-12-25,QQQ,0.2321
2025-12-26,QQQ,0.2124
2025-12-29,QQQ,0.234
2025-12-30,QQQ,0.1821
2025-12-31,QQQ,0.2129
2026-01-01,QQQ,0.2071
2026-01-02,QQQ,0.1771
2026-01-05,QQQ,0.1669
2026-01-06,QQQ,0.2345
2026-01-07,QQQ,0.2036
2026-01-08,QQQ,0.1836
2026-01-09,QQQ,0.2115
2026-01-12,QQQ,0.2484
2026-01-13,QQQ,0.1463
2026-01-14,QQQ,0.17
2026-01-15,QQQ,0.1874
2026-01-16,QQQ,0.2591
2026-01-19,QQQ,0.2239
2026-01-20,QQQ,0.2386
2026-01-21,QQQ,0.1815
2026-01-22,QQQ,0.1823
2026-01-23,QQQ,0.2295
2026-01-26,QQQ,0.2179
2026-01-27,QQQ,0.2328
2026-01-28,QQQ,0.2109
2026-01-29,QQQ,0.225
2026-01-30,QQQ,0.2216
2026-02-02,QQQ,0.2403
2026-02-03,QQQ,0.2413
2026-02-04,QQQ,0.1687
2026-02-05,QQQ,0.15
2026-02-06,QQQ,0.2477
2026-02-09,QQQ,0.2534
2026-02-10,QQQ,0.1873
2026-02-11,QQQ,0.1623
2026-02-12,QQQ,0.2212
2026-02-13,QQQ,0.2463
2026-02-16,QQQ,0.2725
2026-02-17,QQQ,0.2342
2026-02-18,QQQ,0.2077
2026-02-19,QQQ,0.1922
2026-02-20,QQQ,0.2195
2026-02-23,QQQ,0.2104
2026-02-24,QQQ,0.1891
2026-02-25,QQQ,0.2811
2026-02-26,QQQ,0.2734
2026-02-27,QQQ,0.2541
